lambda_1,lambda_2,lambda_3,perplexity
0.9701,0.0212,0.0087,15.492921436570484
0.9701,0.0213,0.0086,15.531694749329189
0.9701,0.0214,0.0085,15.57057449402568
0.9701,0.0215,0.0084,15.609357564007553
0.9701,0.0216,0.0083,15.647931075249257
0.9701,0.0217,0.0082,15.686690918764844
0.9701,0.0218,0.0081,15.725421698182661
0.9701,0.0219,0.008,15.76397858953662
0.9701,0.022,0.0079,15.802509489172353
0.9701,0.0221,0.0078,15.841293042566077
0.9701,0.0222,0.0077,15.879603416280963
0.9701,0.0223,0.0076,15.918234627884528
0.9701,0.0224,0.0075,15.956811435428772
0.9701,0.0225,0.0074,15.995188786774214
0.9701,0.0226,0.0073,16.033821918325334
0.9701,0.0227,0.0072,16.072121742944194
0.9701,0.0228,0.0071,16.110400764306736
0.9701,0.0229,0.007,16.14891578844511
0.9701,0.023,0.0069,16.18720741229218
0.9701,0.0231,0.0068,16.225472942526196
0.9701,0.0232,0.0067,16.2637864054429
0.9701,0.0233,0.0066,16.302058264361687
0.9701,0.0234,0.0065,16.340345681323683
0.9701,0.0235,0.0064,16.378519482232466
0.9701,0.0236,0.0063,16.416669257922248
0.9701,0.0237,0.0062,16.454957314443615
0.9701,0.0238,0.0061,16.493098367244997
0.9701,0.0239,0.006,16.530999095310168
0.9701,0.024,0.0059,16.5693372935371
0.9701,0.0241,0.0058,16.60722781865629
0.9701,0.0242,0.0057,16.645320608828037
0.9701,0.0243,0.0056,16.683305495574743
0.9701,0.0244,0.0055,16.721238516079563
0.9701,0.0245,0.0054,16.75934402638605
0.9701,0.0246,0.0053,16.79721771444243
0.9701,0.0247,0.0052,16.83524925731915
0.9701,0.0248,0.0051,16.873026348879176
0.9701,0.0249,0.005,16.91111202330348
0.9701,0.025,0.0049,16.94892795976461
0.9701,0.0251,0.0048,16.986717375509656
0.9701,0.0252,0.0047,17.024669289032943
0.9701,0.0253,0.0046,17.062284987090393
0.9701,0.0254,0.0045,17.100301692318652
0.9701,0.0255,0.0044,17.137638217190254
0.9701,0.0256,0.0043,17.175563090345737
0.9701,0.0257,0.0042,17.213629150907423
0.9701,0.0258,0.0041,17.25102777246631
0.9701,0.0259,0.004,17.28884782234092
0.9701,0.026,0.0039,17.326416372963628
0.9701,0.0261,0.0038,17.364001912084877
0.9701,0.0262,0.0037,17.401659660212975
0.9701,0.0263,0.0036,17.439225305435883
0.9701,0.0264,0.0035,17.477020980358557
0.9701,0.0265,0.0034,17.51443849212056
0.9701,0.0266,0.0033,17.55205725281598
0.9701,0.0267,0.0032,17.589476592377302
0.9701,0.0268,0.0031,17.627037043503623
0.9701,0.0269,0.003,17.664368812628826
0.9701,0.027,0.0029,17.702075459841037
0.9701,0.0271,0.0028,17.73965751200207
0.9701,0.0272,0.0027,17.77693468992398
0.9701,0.0273,0.0026,17.814538053387537
0.9701,0.0274,0.0025,17.85164485974495
0.9701,0.0275,0.0024,17.88907326212728
0.9701,0.0276,0.0023,17.92658290102615
0.9701,0.0277,0.0022,17.964022377101905
0.9701,0.0278,0.0021,18.00153506217179
0.9701,0.0279,0.002,18.0387098605772
0.9701,0.028,0.0019,18.076237948349526
0.9701,0.0281,0.0018,18.11353829563298
0.9701,0.0282,0.0017,18.150732439072897
0.9701,0.0283,0.0016,18.188263822765958
0.9701,0.0284,0.0015,18.2256964514264
0.9701,0.0285,0.0014,18.26283506986037
0.9701,0.0286,0.0013,18.30022888684148
0.9701,0.0287,0.0012,18.33783826752352
0.9701,0.0288,0.0011,18.374966630271707
0.9701,0.0289,0.001,18.412251134401448
0.9701,0.029,0.0009,18.449644896756208
0.9701,0.0291,0.0008,18.487344749852237
0.9701,0.0292,0.0007,18.524725534978078
0.9701,0.0293,0.0006,18.562404306165305
0.9701,0.0294,0.0005,18.599995201090678
0.9701,0.0295,0.0004,18.63769407215571
0.9701,0.0296,0.0003,18.67528896530506
0.9701,0.0297,0.0002,18.71324846214779
0.9701,0.0298,0.0001,18.75193309937574
0.9702,0.015,0.0148,13.021801779607468
0.9702,0.0151,0.0147,13.062720528023483
0.9702,0.0152,0.0146,13.103607624595986
0.9702,0.0153,0.0145,13.14449995017488
0.9702,0.0154,0.0144,13.185579479512434
0.9702,0.0155,0.0143,13.226355949499977
0.9702,0.0156,0.0142,13.266982144167306
0.9702,0.0157,0.0141,13.30761538069661
0.9702,0.0158,0.014,13.3486324075761
0.9702,0.0159,0.0139,13.389313921151112
0.9702,0.016,0.0138,13.429774099280687
0.9702,0.0161,0.0137,13.470491424004258
0.9702,0.0162,0.0136,13.51110906054817
0.9702,0.0163,0.0135,13.55152076216175
0.9702,0.0164,0.0134,13.59211387569513
0.9702,0.0165,0.0133,13.632553431972307
0.9702,0.0166,0.0132,13.672649010240134
0.9702,0.0167,0.0131,13.713498524019501
0.9702,0.0168,0.013,13.753474280867126
0.9702,0.0169,0.0129,13.793869225771104
0.9702,0.017,0.0128,13.834243077305755
0.9702,0.0171,0.0127,13.874223520894938
0.9702,0.0172,0.0126,13.914321198342275
0.9702,0.0173,0.0125,13.954636866227931
0.9702,0.0174,0.0124,13.994739018089735
0.9702,0.0175,0.0123,14.034826418238959
0.9702,0.0176,0.0122,14.07452903877958
0.9702,0.0177,0.0121,14.11448681263857
0.9702,0.0178,0.012,14.154799063553131
0.9702,0.0179,0.0119,14.194470963651726
0.9702,0.018,0.0118,14.234318085909575
0.9702,0.0181,0.0117,14.274313395701142
0.9702,0.0182,0.0116,14.314014092287087
0.9702,0.0183,0.0115,14.353820832741956
0.9702,0.0184,0.0114,14.393620339128987
0.9702,0.0185,0.0113,14.433061231824208
0.9702,0.0186,0.0112,14.472833627401128
0.9702,0.0187,0.0111,14.512446575472156
0.9702,0.0188,0.011,14.55188318622717
0.9702,0.0189,0.0109,14.591371393093677
0.9702,0.019,0.0108,14.631172816688009
0.9702,0.0191,0.0107,14.67059033244907
0.9702,0.0192,0.0106,14.710138614282291
0.9702,0.0193,0.0105,14.749541191716224
0.9702,0.0194,0.0104,14.78871150149942
0.9702,0.0195,0.0103,14.828275348087914
0.9702,0.0196,0.0102,14.867409993762283
0.9702,0.0197,0.0101,14.906811709199555
0.9702,0.0198,0.01,14.945964406014422
0.9702,0.0199,0.0099,14.98505704078385
0.9702,0.02,0.0098,15.02460830272701
0.9702,0.0201,0.0097,15.063595150134836
0.9702,0.0202,0.0096,15.102975084653348
0.9702,0.0203,0.0095,15.141951976672607
0.9702,0.0204,0.0094,15.181137882229255
0.9702,0.0205,0.0093,15.22007031168891
0.9702,0.0206,0.0092,15.258866513466726
0.9702,0.0207,0.0091,15.29791585032672
0.9702,0.0208,0.009,15.337057319665892
0.9702,0.0209,0.0089,15.375978609781129
0.9702,0.021,0.0088,15.414652936018413
0.9702,0.0211,0.0087,15.453606407214759
0.9702,0.0212,0.0086,15.492490088343486
0.9702,0.0213,0.0085,15.531336385784487
0.9702,0.0214,0.0084,15.570255763602411
0.9702,0.0215,0.0083,15.608875222943679
0.9702,0.0216,0.0082,15.647696107605034
0.9702,0.0217,0.0081,15.686391258924365
0.9702,0.0218,0.008,15.724998513908595
0.9702,0.0219,0.0079,15.76345172967026
0.9702,0.022,0.0078,15.802177245731466
0.9702,0.0221,0.0077,15.840922077517494
0.9702,0.0222,0.0076,15.879241541771677
0.9702,0.0223,0.0075,15.917744637768894
0.9702,0.0224,0.0074,15.956111004749435
0.9702,0.0225,0.0073,15.994863424556339
0.9702,0.0226,0.0072,16.033323353614808
0.9702,0.0227,0.0071,16.07179849425827
0.9702,0.0228,0.007,16.11010459244471
0.9702,0.0229,0.0069,16.148450703385638
0.9702,0.023,0.0068,16.18684898719629
0.9702,0.0231,0.0067,16.225119629103247
0.9702,0.0232,0.0066,16.26344079889163
0.9702,0.0233,0.0065,16.301630662863303
0.9702,0.0234,0.0064,16.339859665167758
0.9702,0.0235,0.0063,16.37799732079595
0.9702,0.0236,0.0062,16.416353953384295
0.9702,0.0237,0.0061,16.454486637421738
0.9702,0.0238,0.006,16.492585117679592
0.9702,0.0239,0.0059,16.530601154160706
0.9702,0.024,0.0058,16.56876412481448
0.9702,0.0241,0.0057,16.60695488111319
0.9702,0.0242,0.0056,16.644750046076037
0.9702,0.0243,0.0055,16.682982396546606
0.9702,0.0244,0.0054,16.721003631163555
0.9702,0.0245,0.0053,16.7588540734635
0.9702,0.0246,0.0052,16.796796581904584
0.9702,0.0247,0.0051,16.83494003068473
0.9702,0.0248,0.005,16.872622294491073
0.9702,0.0249,0.0049,16.910782212312366
0.9702,0.025,0.0048,16.948556407216145
0.9702,0.0251,0.0047,16.986500464488305
0.9702,0.0252,0.0046,17.024182012515038
0.9702,0.0253,0.0045,17.061940613173064
0.9702,0.0254,0.0044,17.099657363800624
0.9702,0.0255,0.0043,17.13745460555765
0.9702,0.0256,0.0042,17.1752779584709
0.9702,0.0257,0.0041,17.21316254372805
0.9702,0.0258,0.004,17.2506981745641
0.9702,0.0259,0.0039,17.28834859351385
0.9702,0.026,0.0038,17.326014664915597
0.9702,0.0261,0.0037,17.36357715443184
0.9702,0.0262,0.0036,17.40112231344934
0.9702,0.0263,0.0035,17.4389208421441
0.9702,0.0264,0.0034,17.476580846182767
0.9702,0.0265,0.0033,17.514189237049358
0.9702,0.0266,0.0032,17.55182801444958
0.9702,0.0267,0.0031,17.589139459512367
